-9.59 	2.51 	8.06 	-4.12 	-6.92 	2.02 	-5.28 	10.94 	4.00 	-9.32 	4.86 	3.45 	-1.69 	10.18 	-0.50 	1.02 	-8.60 	1.79 	-6.18 	3.61 	-5.04 	6.58 	1.56 	3.70 	10.96 
10.60 	6.42 	-6.46 	-9.69 	8.65 	0.90 	4.60 	3.58 	10.27 	-7.97 	2.88 	6.99 	6.13 	-6.46 	2.75 	1.63 	1.43 	2.86 	4.18 	4.74 	5.33 	3.47 	4.41 	8.09 	0.93 
0.98 	11.76 	3.54 	-6.40 	6.06 	8.60 	3.05 	-4.43 	1.20 	-7.68 	-1.05 	0.71 	10.49 	3.32 	5.73 	6.15 	2.01 	7.25 	-3.45 	-3.03 	7.14 	6.32 	-8.72 	8.22 	0.79 
-1.18 	-4.59 	-1.22 	7.85 	5.23 	-1.50 	1.57 	-4.73 	2.07 	-7.35 	5.72 	-2.40 	-5.47 	2.92 	-1.83 	-4.41 	3.12 	-6.67 	-2.44 	6.83 	-9.99 	-6.15 	0.52 	5.89 	2.78 
-9.83 	8.11 	0.71 	-2.02 	11.53 	11.03 	-4.69 	-4.51 	3.77 	1.66 	-8.48 	1.44 	1.12 	3.99 	-5.60 	10.91 	6.34 	6.41 	6.84 	-5.91 	-0.98 	9.76 	1.27 	-7.31 	9.56 
1.07 	-3.99 	-1.67 	-5.74 	-0.54 	1.24 	-3.83 	9.18 	9.31 	8.16 	7.02 	6.06 	2.18 	-5.37 	1.18 	-9.48 	9.90 	10.36 	-7.44 	8.49 	-9.17 	-6.93 	8.23 	7.39 	5.74 
9.39 	9.18 	-4.28 	-5.86 	10.86 	-6.75 	-0.47 	4.72 	-9.90 	6.74 	4.30 	-1.90 	-0.97 	6.44 	-3.03 	-3.60 	-6.11 	9.33 	-3.90 	3.00 	4.73 	3.87 	2.72 	-3.59 	4.74 
-2.43 	6.92 	-3.33 	-3.60 	-3.78 	8.28 	8.72 	-1.93 	4.21 	8.06 	9.94 	9.73 	5.82 	11.24 	-9.63 	3.43 	-8.13 	9.03 	-8.68 	-1.64 	-1.91 	-3.24 	5.98 	2.04 	-9.78 
8.04 	-3.39 	-2.37 	3.33 	4.38 	8.04 	11.24 	-6.08 	-6.06 	-9.48 	11.25 	11.34 	-9.62 	2.71 	-2.38 	-4.25 	1.25 	6.92 	2.04 	11.77 	-2.86 	-8.15 	-0.38 	10.87 	-2.89 
-0.28 	3.83 	0.12 	4.43 	8.70 	-9.75 	0.51 	2.50 	1.57 	-6.97 	2.04 	-6.09 	9.67 	0.03 	6.06 	2.10 	-1.85 	0.24 	11.25 	-2.48 	10.80 	-4.68 	0.38 	-3.81 	-7.42 
-9.07 	2.92 	5.92 	8.08 	-4.52 	-2.19 	4.88 	-7.61 	-4.12 	-9.00 	-8.67 	0.18 	-3.82 	8.91 	-1.30 	1.85 	2.53 	2.53 	6.76 	2.32 	-6.19 	8.86 	8.28 	8.10 	11.36 
-6.59 	3.65 	9.65 	-1.08 	7.13 	7.10 	-6.91 	10.51 	-5.79 	0.20 	7.17 	6.96 	-8.30 	-1.92 	-0.37 	10.43 	-0.61 	8.98 	9.54 	-0.15 	8.64 	-7.04 	0.54 	-1.03 	-2.50 
-3.39 	0.24 	4.38 	5.62 	2.12 	-6.39 	-9.16 	5.44 	11.97 	-0.70 	3.01 	-4.43 	-8.50 	-1.68 	-2.23 	1.57 	11.19 	-0.88 	7.95 	9.86 	10.81 	6.61 	7.38 	4.27 	3.15 
-5.84 	-1.04 	6.70 	-5.49 	-8.47 	10.16 	5.23 	-8.02 	11.97 	-4.41 	8.80 	-1.73 	-1.40 	6.53 	-9.81 	11.99 	3.18 	11.80 	-9.19 	-4.42 	3.92 	5.40 	-8.69 	2.33 	-3.28 
0.51 	1.08 	-9.00 	-0.78 	2.71 	3.40 	-6.42 	-5.67 	6.59 	7.04 	2.08 	-5.45 	5.75 	8.01 	-5.51 	-6.90 	6.72 	9.26 	-6.65 	5.61 	-1.69 	0.12 	1.90 	-7.93 	-0.10 
5.70 	2.55 	-6.09 	6.03 	-2.48 	-1.82 	-0.79 	3.98 	2.69 	-8.20 	-5.29 	8.59 	11.36 	7.34 	3.38 	3.99 	-0.44 	-8.41 	-8.21 	11.79 	3.80 	5.44 	-9.39 	8.89 	5.82 
3.94 	6.17 	7.88 	9.27 	0.18 	11.11 	-0.37 	-2.99 	-5.02 	-9.42 	-6.29 	5.10 	0.58 	0.56 	-4.67 	6.19 	-7.14 	-9.58 	-5.57 	8.80 	-3.34 	8.74 	-8.16 	-1.78 	-6.67 
-8.97 	0.85 	10.67 	-4.31 	1.80 	-7.66 	-8.28 	1.12 	-9.20 	-1.74 	-1.36 	6.31 	-9.58 	-0.52 	10.09 	-3.87 	-4.18 	9.50 	-0.06 	4.87 	-5.73 	3.24 	-1.70 	6.39 	2.55 
-3.35 	-9.62 	-2.64 	-5.07 	-5.12 	11.91 	5.68 	-9.71 	-4.96 	-2.36 	4.38 	-8.90 	5.61 	6.95 	-2.74 	9.22 	0.15 	4.28 	4.30 	10.65 	-5.26 	11.62 	-7.88 	-3.76 	-9.45 
7.21 	11.24 	4.90 	-7.77 	10.61 	9.48 	-6.30 	2.29 	3.82 	6.26 	2.69 	-5.88 	6.26 	-1.60 	9.93 	0.57 	-9.84 	-7.98 	-0.85 	2.91 	-1.90 	7.09 	9.95 	-6.13 	7.39 
10.84 	11.37 	-9.89 	-0.89 	10.26 	3.87 	10.45 	8.14 	6.14 	-4.35 	-9.58 	1.74 	-5.13 	8.14 	8.90 	9.29 	2.31 	-5.75 	0.04 	-6.27 	1.20 	-3.94 	3.73 	-8.21 	-1.54 
9.98 	-1.91 	-3.22 	-9.28 	7.74 	-3.14 	-0.56 	-7.80 	3.51 	-2.59 	6.08 	-0.54 	-1.92 	1.27 	-7.07 	-6.73 	2.65 	-5.53 	-2.70 	4.36 	-0.90 	-1.05 	9.23 	5.82 	5.54 
-2.82 	-4.26 	-3.09 	-1.19 	-8.49 	-0.84 	7.19 	-1.80 	3.24 	2.83 	-9.00 	-5.72 	-1.38 	9.43 	-0.06 	-1.67 	4.11 	-0.33 	7.05 	7.27 	-8.90 	11.44 	2.09 	-1.13 	4.55 
-2.15 	-4.28 	10.41 	-5.54 	-7.54 	3.86 	-5.31 	7.96 	9.98 	-1.02 	-0.79 	-3.68 	3.82 	-0.75 	1.51 	-0.37 	-5.81 	-2.98 	2.87 	-4.59 	-0.33 	-9.70 	5.27 	2.62 	-5.63 
